Unnamed: 0,Student ID,Well versed with the subject,Explains concepts in an understandable way,Use of presentations,Degree of difficulty of assignments,Solves doubts willingly,Structuring of the course,Provides support for students going above and beyond,Course recommendation based on relevance,Department,Course,Instructor,Semester,Academic Year,Gender,Attendance (%),Study Hours,GPA,Overall Satisfaction,Satisfaction Label,Student Feedback,Feedback Length
560,373,6,4,8,10,5,3,10,10,Computer Science,Machine Learning,Prof. Linda Wanjiru,2023 Semester 2,Year 3,Female,97,3,2.56,7.0,Neutral,Overall the learning experience was acceptable.,6
474,965,10,3,4,5,10,3,7,3,Data Science,Cloud Computing,Prof. Linda Wanjiru,2024 Semester 1,Year 4,Male,80,19,3.34,5.62,Unsatisfied,The presentations were difficult to follow.,6
58,89,9,9,4,5,1,2,3,9,Software Engineering,Machine Learning,Dr. Grace Njeri,2024 Semester 2,Year 2,Male,76,1,2.35,5.25,Unsatisfied,Course organization could be significantly improved.,6
510,546,7,7,5,1,9,8,1,1,Computer Science,Data Mining,Prof. Linda Wanjiru,2025 Semester 1,Year 4,Female,72,2,3.16,4.88,Unsatisfied,Course organization could be significantly improved.,6
681,788,6,5,6,3,10,4,3,8,Software Engineering,Operating Systems,Prof. Linda Wanjiru,2024 Semester 1,Year 2,Male,57,15,3.81,5.62,Unsatisfied,More practical examples are needed during lectures.,7
475,99,8,9,6,2,2,3,10,6,Data Science,Artificial Intelligence,Dr. James Mwangi,2024 Semester 2,Year 2,Male,45,22,2.64,5.75,Unsatisfied,I would not recommend this course without improvements.,8
699,693,7,9,8,1,5,10,3,7,Data Science,Database Systems,Dr. Grace Njeri,2024 Semester 1,Year 2,Female,79,10,3.34,6.25,Neutral,Overall the learning experience was acceptable.,6
975,766,10,2,4,3,4,6,9,4,Computer Science,Data Mining,Dr. Sarah Johnson,2024 Semester 1,Year 2,Male,92,18,2.38,5.25,Unsatisfied,The presentations were difficult to follow.,6
782,491,5,4,8,6,1,3,4,4,Data Science,Artificial Intelligence,Prof. Michael Kimani,2024 Semester 1,Year 3,Male,74,22,3.25,4.38,Unsatisfied,There were too few opportunities to ask questions.,8
189,211,7,4,4,3,7,8,7,10,Cyber Security,Computer Networks,Prof. Linda Wanjiru,2024 Semester 2,Year 3,Female,98,14,2.67,6.25,Neutral,The course was generally good but some topics needed more explanation.,11
957,397,10,7,8,6,6,6,2,6,Data Science,Computer Networks,Prof. Michael Kimani,2025 Semester 1,Year 2,Female,80,17,2.42,6.38,Neutral,Assignments were manageable but could include more practical work.,9
686,655,7,8,5,4,1,6,6,8,Software Engineering,Computer Networks,Dr. Sarah Johnson,2024 Semester 2,Year 4,Male,99,13,2.63,5.62,Unsatisfied,The presentations were difficult to follow.,6
957,397,10,7,8,6,6,6,2,6,Software Engineering,Data Mining,Prof. Michael Kimani,2025 Semester 1,Year 2,Female,69,1,2.36,6.38,Neutral,Teaching was satisfactory although the pace was sometimes fast.,9
562,882,6,3,4,1,7,5,4,2,Software Engineering,Data Mining,Dr. Sarah Johnson,2024 Semester 1,Year 3,Male,60,5,3.8,4.0,Unsatisfied,More practical examples are needed during lectures.,7
875,937,8,8,4,10,1,5,9,3,Software Engineering,Database Systems,Dr. James Mwangi,2023 Semester 2,Year 4,Female,63,13,2.79,6.0,Neutral,Assignments were manageable but could include more practical work.,9
566,102,7,4,6,3,5,7,5,5,Cyber Security,Operating Systems,Prof. Linda Wanjiru,2024 Semester 1,Year 3,Female,45,14,2.49,5.25,Unsatisfied,More practical examples are needed during lectures.,7
243,495,5,4,7,9,6,10,5,9,Information Technology,Machine Learning,Dr. Sarah Johnson,2025 Semester 1,Year 3,Female,49,24,2.9,6.88,Neutral,Overall the learning experience was acceptable.,6
831,692,8,8,6,9,5,8,7,10,Computer Science,Computer Networks,Prof. Michael Kimani,2024 Semester 2,Year 4,Female,95,3,2.64,7.62,Neutral,Assignments were manageable but could include more practical work.,9
504,268,10,6,5,9,9,1,8,6,Software Engineering,Cloud Computing,Prof. Linda Wanjiru,2024 Semester 1,Year 2,Male,66,15,3.49,6.75,Neutral,Assignments were manageable but could include more practical work.,9
130,580,5,2,5,8,6,5,4,9,Data Science,Operating Systems,Dr. James Mwangi,2024 Semester 2,Year 2,Female,68,19,3.94,5.5,Unsatisfied,There were too few opportunities to ask questions.,8
484,620,9,5,8,2,8,10,8,8,Software Engineering,Cloud Computing,Prof. Linda Wanjiru,2024 Semester 2,Year 2,Female,87,17,2.88,7.25,Neutral,The presentations were useful but could be more interactive.,9
818,104,8,5,4,2,7,9,4,4,Data Science,Database Systems,Dr. Sarah Johnson,2024 Semester 2,Year 2,Female,89,3,3.72,5.38,Unsatisfied,More practical examples are needed during lectures.,7
646,426,9,8,7,8,10,6,9,8,Data Science,Database Systems,Dr. James Mwangi,2024 Semester 1,Year 4,Male,96,16,3.13,8.12,Satisfied,The lecturer explains concepts clearly and makes learning enjoyable.,9
20,24,9,10,6,10,2,10,1,9,Software Engineering,Database Systems,Prof. Michael Kimani,2024 Semester 2,Year 4,Male,81,14,2.31,7.12,Neutral,The presentations were useful but could be more interactive.,9
840,800,7,4,5,2,1,6,3,9,Cyber Security,Artificial Intelligence,Dr. James Mwangi,2024 Semester 2,Year 4,Female,97,12,3.38,4.62,Unsatisfied,The presentations were difficult to follow.,6
166,574,6,4,8,5,9,5,7,10,Data Science,Cloud Computing,Dr. James Mwangi,2024 Semester 1,Year 3,Female,80,12,3.03,6.75,Neutral,Teaching was satisfactory although the pace was sometimes fast.,9
273,375,10,4,4,1,3,4,7,9,Data Science,Operating Systems,Dr. Grace Njeri,2024 Semester 2,Year 4,Female,80,11,3.3,5.25,Unsatisfied,The lecturer moved too quickly through difficult topics.,8
387,769,9,8,8,8,1,1,8,5,Software Engineering,Operating Systems,Dr. James Mwangi,2024 Semester 1,Year 2,Female,48,17,3.78,6.0,Neutral,Assignments were manageable but could include more practical work.,9
600,14,5,5,8,9,7,5,2,1,Data Science,Data Mining,Dr. James Mwangi,2025 Semester 1,Year 3,Female,80,8,2.88,5.25,Unsatisfied,Assignments were confusing and lacked clear instructions.,7
315,565,10,9,7,10,4,8,5,4,Data Science,Data Mining,Prof. Linda Wanjiru,2025 Semester 1,Year 2,Female,96,17,3.8,7.12,Neutral,Assignments were manageable but could include more practical work.,9
13,552,5,6,7,2,7,4,4,2,Software Engineering,Computer Networks,Prof. Michael Kimani,2025 Semester 1,Year 2,Male,97,21,3.5,4.62,Unsatisfied,Feedback on assessments was delayed.,5
241,842,10,7,5,3,3,6,4,6,Software Engineering,Data Mining,Prof. Linda Wanjiru,2024 Semester 2,Year 4,Female,62,23,2.98,5.5,Unsatisfied,The lecturer moved too quickly through difficult topics.,8
776,134,9,9,7,4,7,10,8,3,Computer Science,Database Systems,Prof. Linda Wanjiru,2023 Semester 2,Year 4,Female,94,20,3.21,7.12,Neutral,The presentations were useful but could be more interactive.,9
345,396,6,10,4,6,1,2,4,10,Cyber Security,Operating Systems,Dr. Sarah Johnson,2023 Semester 2,Year 2,Female,60,11,2.65,5.38,Unsatisfied,There were too few opportunities to ask questions.,8
564,935,10,9,7,2,8,2,1,2,Cyber Security,Cloud Computing,Prof. Linda Wanjiru,2024 Semester 2,Year 2,Female,85,2,3.97,5.12,Unsatisfied,Course organization could be significantly improved.,6
897,33,8,5,6,1,8,7,7,2,Data Science,Database Systems,Dr. Grace Njeri,2023 Semester 2,Year 3,Female,62,10,3.33,5.5,Unsatisfied,The presentations were difficult to follow.,6
339,360,9,9,8,2,3,1,8,6,Cyber Security,Artificial Intelligence,Dr. Grace Njeri,2024 Semester 1,Year 4,Female,66,10,2.09,5.75,Unsatisfied,Assignments were confusing and lacked clear instructions.,7
91,297,7,10,6,8,10,10,2,8,Data Science,Data Mining,Dr. Sarah Johnson,2023 Semester 2,Year 3,Male,46,11,2.65,7.62,Neutral,Overall the learning experience was acceptable.,6
366,958,10,10,5,8,5,10,7,8,Computer Science,Database Systems,Prof. Michael Kimani,2024 Semester 2,Year 3,Male,65,6,3.25,7.88,Neutral,Overall the learning experience was acceptable.,6
955,905,5,9,6,8,10,2,1,1,Software Engineering,Database Systems,Prof. Michael Kimani,2024 Semester 2,Year 3,Male,80,4,2.11,5.25,Unsatisfied,More practical examples are needed during lectures.,7
454,711,7,3,4,6,3,7,6,4,Software Engineering,Artificial Intelligence,Prof. Linda Wanjiru,2024 Semester 1,Year 2,Male,88,24,2.05,5.0,Unsatisfied,The presentations were difficult to follow.,6
427,227,9,3,6,4,7,4,4,7,Software Engineering,Machine Learning,Prof. Linda Wanjiru,2025 Semester 1,Year 3,Male,83,12,2.9,5.5,Unsatisfied,There were too few opportunities to ask questions.,8
508,500,9,5,8,4,2,2,5,1,Cyber Security,Operating Systems,Prof. Linda Wanjiru,2024 Semester 2,Year 3,Male,91,11,2.67,4.5,Unsatisfied,There were too few opportunities to ask questions.,8
775,928,6,7,6,9,4,8,5,8,Computer Science,Cloud Computing,Prof. Michael Kimani,2024 Semester 1,Year 2,Female,83,23,2.88,6.62,Neutral,The presentations were useful but could be more interactive.,9
942,442,7,8,5,10,8,3,6,4,Cyber Security,Computer Networks,Dr. James Mwangi,2023 Semester 2,Year 4,Female,73,23,2.53,6.38,Neutral,The presentations were useful but could be more interactive.,9
34,898,10,10,4,3,5,4,2,1,Cyber Security,Machine Learning,Dr. Grace Njeri,2023 Semester 2,Year 4,Female,98,13,2.33,4.88,Unsatisfied,Feedback on assessments was delayed.,5
205,545,9,4,8,1,8,6,2,4,Computer Science,Data Mining,Dr. James Mwangi,2024 Semester 1,Year 3,Female,70,5,3.38,5.25,Unsatisfied,I would not recommend this course without improvements.,8
80,742,7,7,8,2,1,1,8,1,Computer Science,Database Systems,Dr. James Mwangi,2024 Semester 1,Year 2,Female,65,6,3.03,4.38,Unsatisfied,More practical examples are needed during lectures.,7
931,333,6,3,7,6,9,9,9,1,Computer Science,Artificial Intelligence,Prof. Michael Kimani,2024 Semester 2,Year 4,Female,61,1,2.4,6.25,Neutral,The course was generally good but some topics needed more explanation.,11
561,285,6,10,5,7,3,3,5,1,Computer Science,Artificial Intelligence,Dr. James Mwangi,2023 Semester 2,Year 3,Male,60,6,2.64,5.0,Unsatisfied,Course organization could be significantly improved.,6
871,502,6,3,5,1,8,4,7,8,Software Engineering,Operating Systems,Dr. Sarah Johnson,2024 Semester 1,Year 3,Female,75,18,3.18,5.25,Unsatisfied,I would not recommend this course without improvements.,8
387,769,9,8,8,8,1,1,8,5,Information Technology,Machine Learning,Prof. Linda Wanjiru,2023 Semester 2,Year 2,Male,95,22,2.14,6.0,Neutral,The presentations were useful but could be more interactive.,9
1,253,6,5,8,6,2,1,2,9,Information Technology,Computer Networks,Dr. Sarah Johnson,2024 Semester 1,Year 3,Male,53,9,2.29,4.88,Unsatisfied,Course organization could be significantly improved.,6
389,644,9,6,8,2,7,6,4,6,Computer Science,Operating Systems,Dr. Grace Njeri,2023 Semester 2,Year 4,Female,75,24,2.15,6.0,Neutral,The course was generally good but some topics needed more explanation.,11
565,679,10,6,4,5,10,9,6,7,Information Technology,Database Systems,Prof. Linda Wanjiru,2025 Semester 1,Year 2,Female,58,15,3.62,7.12,Neutral,The presentations were useful but could be more interactive.,9
105,843,6,8,5,4,5,5,10,6,Information Technology,Operating Systems,Dr. James Mwangi,2024 Semester 2,Year 4,Female,93,8,3.5,6.12,Neutral,Teaching was satisfactory although the pace was sometimes fast.,9
771,9,7,5,4,5,1,3,5,6,Computer Science,Cloud Computing,Dr. Grace Njeri,2023 Semester 2,Year 4,Female,81,19,3.51,4.5,Unsatisfied,There were too few opportunities to ask questions.,8
821,774,7,10,5,4,6,10,9,6,Information Technology,Artificial Intelligence,Prof. Linda Wanjiru,2025 Semester 1,Year 4,Female,46,24,3.43,7.12,Neutral,Teaching was satisfactory although the pace was sometimes fast.,9
476,912,7,10,7,10,2,7,5,7,Cyber Security,Artificial Intelligence,Dr. James Mwangi,2023 Semester 2,Year 3,Female,96,16,3.34,6.88,Neutral,The presentations were useful but could be more interactive.,9
702,260,9,3,7,4,7,2,8,3,Data Science,Data Mining,Dr. Sarah Johnson,2023 Semester 2,Year 3,Female,92,6,2.95,5.38,Unsatisfied,Assignments were confusing and lacked clear instructions.,7
401,656,6,2,7,2,5,6,9,9,Data Science,Data Mining,Prof. Linda Wanjiru,2025 Semester 1,Year 4,Male,90,6,3.28,5.75,Unsatisfied,Course organization could be significantly improved.,6
729,575,9,4,7,7,1,1,5,1,Computer Science,Computer Networks,Dr. James Mwangi,2023 Semester 2,Year 4,Female,58,22,2.08,4.38,Unsatisfied,Assignments were confusing and lacked clear instructions.,7
555,899,5,4,7,7,2,6,1,1,Software Engineering,Database Systems,Dr. Sarah Johnson,2023 Semester 2,Year 2,Female,77,3,3.24,4.12,Unsatisfied,More practical examples are needed during lectures.,7
161,352,6,2,6,3,5,3,8,6,Computer Science,Cloud Computing,Dr. Grace Njeri,2024 Semester 2,Year 2,Male,79,10,3.56,4.88,Unsatisfied,Feedback on assessments was delayed.,5
201,180,8,4,4,1,6,9,6,1,Software Engineering,Machine Learning,Dr. Grace Njeri,2025 Semester 1,Year 3,Female,83,1,3.0,4.88,Unsatisfied,Assignments were confusing and lacked clear instructions.,7
957,397,10,7,8,6,6,6,2,6,Data Science,Operating Systems,Dr. Grace Njeri,2025 Semester 1,Year 3,Female,91,14,2.72,6.38,Neutral,Overall the learning experience was acceptable.,6
995,98,9,9,7,2,3,3,8,4,Computer Science,Computer Networks,Dr. Grace Njeri,2024 Semester 1,Year 2,Male,95,4,2.55,5.62,Unsatisfied,The lecturer moved too quickly through difficult topics.,8
269,885,5,6,7,7,2,2,5,7,Cyber Security,Database Systems,Prof. Michael Kimani,2023 Semester 2,Year 4,Female,64,12,3.29,5.12,Unsatisfied,The lecturer moved too quickly through difficult topics.,8
862,834,8,2,7,4,1,8,9,2,Information Technology,Data Mining,Prof. Linda Wanjiru,2024 Semester 2,Year 3,Female,46,6,3.39,5.12,Unsatisfied,I would not recommend this course without improvements.,8
815,131,9,4,8,2,7,5,2,10,Software Engineering,Operating Systems,Prof. Linda Wanjiru,2023 Semester 2,Year 4,Female,95,11,3.74,5.88,Unsatisfied,Feedback on assessments was delayed.,5
270,112,7,9,6,9,1,7,1,2,Information Technology,Data Mining,Prof. Michael Kimani,2023 Semester 2,Year 2,Female,85,12,2.68,5.25,Unsatisfied,Assignments were confusing and lacked clear instructions.,7
455,635,7,3,8,6,7,4,10,5,Information Technology,Operating Systems,Dr. James Mwangi,2024 Semester 1,Year 3,Female,63,10,3.54,6.25,Neutral,Overall the learning experience was acceptable.,6
461,177,8,2,6,2,8,1,9,9,Computer Science,Machine Learning,Dr. James Mwangi,2023 Semester 2,Year 3,Female,81,18,3.12,5.62,Unsatisfied,The presentations were difficult to follow.,6
726,472,6,8,7,7,9,9,2,3,Information Technology,Database Systems,Dr. Grace Njeri,2024 Semester 2,Year 2,Male,62,7,3.77,6.38,Neutral,Overall the learning experience was acceptable.,6
251,215,5,6,6,2,1,9,5,8,Cyber Security,Operating Systems,Dr. Sarah Johnson,2024 Semester 2,Year 3,Female,60,7,3.06,5.25,Unsatisfied,Course organization could be significantly improved.,6
701,951,10,10,7,10,5,9,7,1,Information Technology,Cloud Computing,Dr. James Mwangi,2024 Semester 1,Year 2,Female,48,11,3.04,7.38,Neutral,Assignments were manageable but could include more practical work.,9
295,949,9,8,7,1,7,6,9,4,Computer Science,Computer Networks,Dr. Sarah Johnson,2023 Semester 2,Year 3,Male,56,4,3.16,6.38,Neutral,The presentations were useful but could be more interactive.,9
724,453,8,4,4,4,2,8,1,4,Cyber Security,Artificial Intelligence,Prof. Linda Wanjiru,2024 Semester 2,Year 2,Male,73,20,3.5,4.38,Unsatisfied,More practical examples are needed during lectures.,7
719,775,5,6,7,2,5,4,1,4,Data Science,Cloud Computing,Dr. Sarah Johnson,2023 Semester 2,Year 3,Female,51,1,3.93,4.25,Unsatisfied,Assignments were confusing and lacked clear instructions.,7
748,998,9,7,5,1,2,2,1,10,Information Technology,Cloud Computing,Prof. Linda Wanjiru,2023 Semester 2,Year 4,Male,58,13,2.15,4.62,Unsatisfied,There were too few opportunities to ask questions.,8
337,630,5,5,4,8,3,6,6,8,Computer Science,Computer Networks,Prof. Michael Kimani,2023 Semester 2,Year 4,Female,99,18,2.11,5.62,Unsatisfied,The lecturer moved too quickly through difficult topics.,8
878,841,8,9,8,3,4,4,7,1,Data Science,Artificial Intelligence,Prof. Michael Kimani,2024 Semester 1,Year 4,Female,56,9,3.88,5.5,Unsatisfied,There were too few opportunities to ask questions.,8
52,798,7,2,8,7,10,5,3,5,Data Science,Cloud Computing,Dr. Grace Njeri,2023 Semester 2,Year 3,Male,79,24,3.06,5.88,Unsatisfied,The presentations were difficult to follow.,6
791,382,10,10,7,5,2,3,6,3,Software Engineering,Operating Systems,Dr. James Mwangi,2024 Semester 2,Year 3,Female,49,24,3.23,5.75,Unsatisfied,I would not recommend this course without improvements.,8
921,497,6,4,8,4,6,10,1,6,Cyber Security,Operating Systems,Dr. Grace Njeri,2023 Semester 2,Year 4,Female,61,9,2.96,5.62,Unsatisfied,The presentations were difficult to follow.,6
216,267,8,9,4,4,8,4,8,1,Information Technology,Operating Systems,Prof. Linda Wanjiru,2024 Semester 2,Year 4,Male,86,23,2.19,5.75,Unsatisfied,The presentations were difficult to follow.,6
763,563,7,4,8,8,7,3,3,10,Computer Science,Artificial Intelligence,Dr. Grace Njeri,2023 Semester 2,Year 2,Male,76,9,3.54,6.25,Neutral,Teaching was satisfactory although the pace was sometimes fast.,9
187,111,7,9,7,1,10,10,3,10,Software Engineering,Cloud Computing,Dr. Sarah Johnson,2024 Semester 2,Year 2,Male,54,10,3.49,7.12,Neutral,Overall the learning experience was acceptable.,6
379,858,9,5,5,3,2,2,7,7,Cyber Security,Artificial Intelligence,Prof. Linda Wanjiru,2024 Semester 2,Year 2,Male,87,2,2.62,5.0,Unsatisfied,Assignments were confusing and lacked clear instructions.,7
492,368,7,9,8,3,2,7,4,1,Software Engineering,Operating Systems,Prof. Michael Kimani,2023 Semester 2,Year 4,Female,61,6,2.61,5.12,Unsatisfied,The lecturer moved too quickly through difficult topics.,8
40,35,10,6,4,5,6,2,3,1,Cyber Security,Computer Networks,Dr. James Mwangi,2023 Semester 2,Year 4,Male,49,15,3.68,4.62,Unsatisfied,Assignments were confusing and lacked clear instructions.,7
156,608,7,4,6,5,4,7,8,7,Cyber Security,Cloud Computing,Prof. Linda Wanjiru,2024 Semester 2,Year 4,Male,89,3,2.14,6.0,Neutral,Assignments were manageable but could include more practical work.,9
14,510,6,7,8,3,4,7,7,6,Information Technology,Cloud Computing,Prof. Linda Wanjiru,2025 Semester 1,Year 2,Male,86,11,3.76,6.0,Neutral,Overall the learning experience was acceptable.,6
812,599,5,2,4,8,4,8,9,5,Cyber Security,Data Mining,Dr. Sarah Johnson,2024 Semester 1,Year 3,Male,53,6,2.51,5.62,Unsatisfied,The lecturer moved too quickly through difficult topics.,8
64,522,6,9,8,10,9,5,3,6,Software Engineering,Data Mining,Dr. James Mwangi,2025 Semester 1,Year 4,Male,93,3,3.19,7.0,Neutral,Overall the learning experience was acceptable.,6
856,10,8,3,7,4,3,6,4,1,Cyber Security,Machine Learning,Prof. Michael Kimani,2025 Semester 1,Year 3,Female,77,24,3.87,4.5,Unsatisfied,I would not recommend this course without improvements.,8
838,278,10,8,7,8,6,7,8,1,Information Technology,Database Systems,Prof. Linda Wanjiru,2023 Semester 2,Year 3,Male,80,11,3.36,6.88,Neutral,The course was generally good but some topics needed more explanation.,11
520,816,10,8,5,9,2,7,9,3,Information Technology,Data Mining,Prof. Linda Wanjiru,2024 Semester 1,Year 3,Female,80,15,2.83,6.62,Neutral,The presentations were useful but could be more interactive.,9
